"DateTime","Price USD","Price BTC","Volume","DateTim","Navigator 5","Navigator 5","Navigator 5"
"2018-01-11 09:38:56",,,,"2018-01-11 09:38:56",14407,472966269843,,15375303457,857143
"2018-01-18 09:38:56",,,,"2018-01-18 09:38:56",12107,574225462038,,14006262509,428572
"2018-01-25 09:38:56",,,,"2018-01-25 09:38:56",11233,210515873014,,9330438346,142857
"2018-02-01 09:38:56",,,,"2018-02-01 09:38:56",9752,157261904762,,8649458425,571428
"2018-02-08 09:38:56",,,,"2018-02-08 09:38:56",7994,562659612776,,9199917497,285715
"2018-02-15 09:38:56",,,,"2018-02-15 09:38:56",9695,348645833337,,7506940693,285714
"2018-02-22 09:38:56",,,,"2018-02-22 09:38:56",10547,69620628875,,8099208434
"2018-03-01 09:38:56",,,,"2018-03-01 09:38:56",10809,652750756188,,6978974413,285714
"2018-03-08 09:38:56",,,,"2018-03-08 09:38:56",10039,029340102332,,7048563105,285714
"2018-03-15 09:38:56",,,,"2018-03-15 09:38:56",8550,658303571425,,5918645190,714286
"2018-03-22 09:38:56",,,,"2018-03-22 09:38:56",8706,65942781632,,5998467031,428572
"2018-03-29 09:38:56",,,,"2018-03-29 09:38:56",7514,821624710324,,5446484867,857142
"2018-04-05 09:38:56",,,,"2018-04-05 09:38:56",6983,816973761454,,4624189097,142858
"2018-04-12 09:38:56",,,,"2018-04-12 09:38:56",7439,014930555554,,5742518099
"2018-04-19 09:38:56",,,,"2018-04-19 09:38:56",8363,865376984128,,6806895206,285714
"2018-04-26 09:38:56",,,,"2018-04-26 09:38:56",9169,0354372684,,8750026326,857143
"2018-05-03 09:38:56",,,,"2018-05-03 09:38:56",9434,101457192633,,8178810693,285714
"2018-05-10 09:38:56",,,,"2018-05-10 09:38:56",8991,442017943367,,7137925711,142858
"2018-05-17 09:38:56",,,,"2018-05-17 09:38:56",8380,687744723147,,6100252225,428572
"2018-05-24 09:38:56",,,,"2018-05-24 09:38:56",7780,99962517073,,5209647704,857142
"2018-05-31 09:38:56",,,,"2018-05-31 09:38:56",7480,040151220249,,5028789953,857142
"2018-06-07 09:38:56",,,,"2018-06-07 09:38:56",7548,522458846926,,4598240413
"2018-06-14 09:38:56",,,,"2018-06-14 09:38:56",6604,512964939023,,4481002647,285714
"2018-06-21 09:38:56",,,,"2018-06-21 09:38:56",6474,261696428574,,3958425612,571429
"2018-06-28 09:38:56",,,,"2018-06-28 09:38:56",6186,052889666165,,4103402131,285714
"2018-07-05 09:38:56",,,,"2018-07-05 09:38:56",6632,016290635328,,4436941509,571428
"2018-07-12 09:38:56",,,,"2018-07-12 09:38:56",6401,043364619866,,3598362052,857143
"2018-07-19 09:38:56",,,,"2018-07-19 09:38:56",7207,514899595384,,4858240928
"2018-07-26 09:38:56",,,,"2018-07-26 09:38:56",8082,725491890777,,5292697289,857142
"2018-08-02 09:38:56",,,,"2018-08-02 09:38:56",7576,885309980417,,4381011328,428572
"2018-08-09 09:38:56",,,,"2018-08-09 09:38:56",6562,18614423308,,4033249629
"2018-08-16 09:38:56",,,,"2018-08-16 09:38:56",6396,501603502402,,4267153713
"2018-08-23 09:38:56",,,,"2018-08-23 09:38:56",6576,451861722969,,3447300366,857143
"2018-08-30 09:38:56",,,,"2018-08-30 09:38:56",7007,268061437121,,3913169397,142857
"2018-09-06 09:38:56",,,,"2018-09-06 09:38:56",6802,845893375056,,3955797417,714286
"2018-09-13 09:38:56",,,,"2018-09-13 09:38:56",6450,390132186048,,3539736346,142857
"2018-09-20 09:38:56",,,,"2018-09-20 09:38:56",6530,440135953211,,4239434952,571429
"2018-09-27 09:38:56",,,,"2018-09-27 09:38:56",6585,282215064572,,4107179616,571429
"2018-10-04 09:38:56",,,,"2018-10-04 09:38:56",6602,966443010695,,3440710366,142857
"2013-05-02 09:38:56",,,,"2013-05-02 09:38:56",119,06239811451287,,0
"2013-05-06 00:00:00",114,23624937910206,,0,"2013-05-06 00:00:00"
"2013-05-13 00:00:00",118,11878256465756,,0,"2013-05-13 00:00:00"
"2013-05-20 00:00:00",126,59529571817077,,0,"2013-05-20 00:00:00"
"2013-05-27 00:00:00",128,86052212450113,,0,"2013-05-27 00:00:00"
"2013-06-03 00:00:00",115,31616044000933,,0,"2013-06-03 00:00:00"
"2013-06-10 00:00:00",104,41434292627261,,0,"2013-06-10 00:00:00"
"2013-06-17 00:00:00",107,26694370423006,,0,"2013-06-17 00:00:00"
